epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,4793.32,0.94172,1.68046,0.88751,1.11366,0.57958,0.8,0.76167,0.28695,0.57958,0.8,0.76167,0.45522,1.96162,2.11818,1.66056,2.19111,0.000713,0.000713,0.000713
67,4848.48,0.91424,1.52529,0.83892,1.06709,0.76755,0.8,0.83192,0.29828,0.76755,0.8,0.83192,0.49544,2.07754,2.08025,1.67813,2.34253,0.0006932,0.0006932,0.0006932
68,4904.03,0.90762,1.5483,0.81882,1.06472,0.76729,0.8,0.81382,0.27867,0.76729,0.8,0.81382,0.46471,2.27593,1.93659,1.90375,2.53222,0.0006734,0.0006734,0.0006734
69,4964.38,0.86738,1.55644,0.82279,1.05957,0.77338,0.8,0.82167,0.35209,0.77338,0.8,0.82167,0.49738,2.14698,1.77511,1.76328,2.33097,0.0006536,0.0006536,0.0006536
70,5019.72,0.86722,1.54131,0.79981,1.05046,0.79153,0.76612,0.79192,0.35531,0.79153,0.76612,0.79192,0.47357,1.98248,1.71595,1.71612,2.12541,0.0006338,0.0006338,0.0006338
71,5075.2,0.91171,1.5788,0.75404,1.07505,0.82623,0.6,0.76167,0.36155,0.82623,0.6,0.76167,0.45612,1.93857,1.79502,1.8038,2.03353,0.000614,0.000614,0.000614
72,5129.38,0.83683,1.47753,0.80304,1.04756,0.96348,0.6,0.76167,0.352,0.96348,0.6,0.76167,0.44023,2.07464,2.10441,1.96787,2.18708,0.0005942,0.0005942,0.0005942
73,5182.87,0.82426,1.46147,0.76379,1.07796,1,0.55112,0.73786,0.35831,1,0.55112,0.73786,0.41774,1.8753,2.24643,1.8937,1.98114,0.0005744,0.0005744,0.0005744
74,5236.12,0.9062,1.71914,0.83002,1.09104,1,0.57836,0.76722,0.39799,1,0.57836,0.76722,0.41843,1.99211,2.28765,1.94677,2.02503,0.0005546,0.0005546,0.0005546
75,5295.29,0.86316,1.46532,0.76957,1.0403,0.79305,0.7722,0.83833,0.38565,0.79305,0.7722,0.83833,0.45314,1.96815,2.31681,1.67929,2.06083,0.0005348,0.0005348,0.0005348
76,5349.45,0.83567,1.42498,0.73007,1.02749,0.78489,0.8,0.81056,0.30013,0.78489,0.8,0.81056,0.4628,1.88732,2.3766,1.54737,2.11326,0.000515,0.000515,0.000515
77,5404.13,0.84696,1.52932,0.7698,1.0286,0.94165,0.8,0.83071,0.28908,0.94165,0.8,0.83071,0.45526,2.00838,2.49833,1.61572,2.24031,0.0004952,0.0004952,0.0004952
78,5458.19,0.91439,1.67613,0.8569,1.1288,0.79208,0.76833,0.76045,0.22793,0.79208,0.76833,0.76045,0.39798,2.07822,2.51703,1.83404,2.26723,0.0004754,0.0004754,0.0004754
79,5518.27,0.88145,1.48301,0.80136,1.05112,0.7952,0.7808,0.72013,0.18763,0.7952,0.7808,0.72013,0.40716,2.24872,2.42893,2.1257,2.2876,0.0004556,0.0004556,0.0004556
80,5573.08,0.81464,1.45906,0.70857,1.01203,0.57972,0.6,0.57396,0.16416,0.66432,0.79296,0.6698,0.40527,2.63971,2.27055,2.03096,2.65624,0.0004358,0.0004358,0.0004358
81,5631.88,0.82913,1.41476,0.73416,1.03335,0.64841,0.8,0.66347,0.18451,0.64841,0.8,0.67119,0.40265,2.60114,2.22498,1.94137,2.55216,0.000416,0.000416,0.000416
82,5687.19,0.8962,1.63978,0.78916,1.08361,0.65281,0.8,0.68059,0.20827,0.65281,0.8,0.68759,0.42022,2.39678,2.21617,1.9286,2.31405,0.0003962,0.0003962,0.0003962
83,5743.52,0.73974,1.38118,0.68618,1.00363,0.55303,0.8,0.66383,0.23572,0.55303,0.8,0.66829,0.4034,2.08795,2.24285,1.81027,2.09769,0.0003764,0.0003764,0.0003764
84,5798.19,0.81341,1.43661,0.71858,1.0264,0.66084,0.8,0.76059,0.26016,0.66084,0.8,0.76059,0.46991,1.93166,2.16074,1.78402,2.02963,0.0003566,0.0003566,0.0003566
85,5852.74,0.82485,1.41785,0.71731,1.08349,0.66324,0.8,0.77,0.28797,0.66324,0.8,0.77,0.47359,2.07024,2.07933,1.91821,2.1752,0.0003368,0.0003368,0.0003368
86,6019.24,0.84516,1.5044,0.69418,1.03102,0.66168,0.8,0.72833,0.26017,0.66168,0.8,0.72833,0.42621,2.18986,2.04174,1.68927,2.2996,0.000317,0.000317,0.000317
87,6074.13,0.8109,1.41023,0.70166,1.02489,0.65911,0.8,0.73096,0.25573,0.65911,0.8,0.73096,0.42199,2.2617,2.03586,1.45956,2.41953,0.0002972,0.0002972,0.0002972
88,6129.97,0.75912,1.46841,0.68055,1.00378,0.64635,0.8,0.72595,0.27888,0.64635,0.8,0.72595,0.39525,2.17622,2.05448,1.5793,2.345,0.0002774,0.0002774,0.0002774
89,6187.57,0.74349,1.41462,0.65633,0.99773,0.79489,0.77957,0.77056,0.31521,0.79489,0.77957,0.77056,0.42387,2.17,2.06832,1.58153,2.38187,0.0002576,0.0002576,0.0002576
90,6242.28,0.76379,1.42698,0.67848,1.02818,0.77426,0.8,0.76763,0.32726,0.77426,0.8,0.76763,0.4227,2.18893,2.06783,1.56552,2.39826,0.0002378,0.0002378,0.0002378
91,6297.15,0.68767,1.20182,0.68541,1.01589,0.77033,0.8,0.7453,0.33219,0.77033,0.8,0.7453,0.41072,2.1458,2.08556,1.64368,2.31899,0.000218,0.000218,0.000218
92,6354.12,0.66698,1.20256,0.67236,0.96744,0.56164,0.77259,0.67148,0.32402,0.56164,0.77259,0.67148,0.38299,2.17491,2.1322,1.882,2.37289,0.0001982,0.0001982,0.0001982
93,6407.71,0.65655,1.21658,0.61826,0.96818,0.7428,0.58273,0.65377,0.30642,0.7428,0.58273,0.65377,0.37339,2.16096,2.19149,1.94782,2.386,0.0001784,0.0001784,0.0001784
94,6461.1,0.6631,1.2261,0.64467,0.96787,0.55938,0.76627,0.63698,0.27982,0.55938,0.76627,0.64491,0.34964,2.12584,2.24297,2.00186,2.38926,0.0001586,0.0001586,0.0001586
95,6514.46,0.63937,1.1343,0.60374,0.98093,0.56347,0.77772,0.64244,0.27358,0.56347,0.77772,0.64623,0.35007,2.10962,2.28039,1.98138,2.40288,0.0001388,0.0001388,0.0001388
96,6568.62,0.63479,1.18957,0.6426,0.94624,0.56271,0.77558,0.70095,0.32189,0.56271,0.77558,0.70095,0.37984,2.08219,2.33616,2.02906,2.47802,0.000119,0.000119,0.000119
97,6621.11,0.6022,1.1766,0.57949,0.93905,1,0.59925,0.77379,0.31993,1,0.59925,0.77379,0.42562,2.05076,2.34035,2.00751,2.42466,9.92e-05,9.92e-05,9.92e-05
98,6674.12,0.63049,1.19332,0.60208,0.9726,0.96746,0.6,0.78096,0.31659,0.96746,0.6,0.78096,0.42848,2.0691,2.35693,1.98444,2.46017,7.94e-05,7.94e-05,7.94e-05
99,6726.84,0.63673,1.17689,0.62795,0.98433,0.56717,0.78809,0.71484,0.32304,0.56717,0.78809,0.71484,0.38549,2.08527,2.37679,1.97084,2.49481,5.96e-05,5.96e-05,5.96e-05
100,6784.55,0.61854,1.16338,0.61478,0.96873,0.92302,0.6,0.76811,0.33498,0.92302,0.6,0.76811,0.42001,2.13064,2.40067,1.91493,2.52001,3.98e-05,3.98e-05,3.98e-05
